,SHIP,FLAG,SUNK DATE,VESSEL TYPE,ZONA1,ZONA2,ZONA3,ZONA4,COORDINATES,NOTES,IMAGE
26,Leonardo,,24 November 2019,,Massachusetts,Dukes County,,,,"A 57-foot scallop fishing vessel that capsized and sank during a powerful storm off the coast of Martha's Vineyard with four crew members aboard. Only one survivor was found, and the other three are presumed deceased.",
27,Mertie B. Crowley,,23 January 1910,,Massachusetts,Dukes County,,,,"A schooner that ran aground on Wasque Shoal, off Martha's Vineyard.",
28,Nantucket,,7 August 1859,,Massachusetts,Dukes County,,,,A whaler that was wrecked on Nashawena Island.,
29,USS Valor,,29 June 1944,,Massachusetts,Dukes County,,, 41.467; -70.950﻿ ,An Accentor-class minesweeper sunk by USS Richard W. Suesens off Cuttyhunk.,
30,Ada K. Damon,,26 December 1909,,Massachusetts,Essex County,,, 42.6911500; -70.7828167﻿ ,"A Grand Banks schooner that wrecked on Crane Beach in Ipswich, Massachusetts.",
31,USS Albert Gallatin,,6 January 1892,,Massachusetts,Essex County,,, 42.56389; -70.74778﻿ ,A cutter that grounded on Boo Hoo Ledge off Manchester.,
32,Alice M. Colburn,,3 January 1923,,Massachusetts,Essex County,,,,A schooner that ran aground and broke up in a storm off Manchester.,
33,Alma A. E. Holmes,,10 October 1914,,Massachusetts,Essex County,,, 42.43500; -70.74833﻿ ,A schooner that collided with the steamer Belfast off Marblehead.,
34,California,,15 September 1955,,Massachusetts,Essex County,,, 42.67361; -70.57194﻿ ,A fishing trawler that ran aground on a ledge off Rockport.,
35,Charles S. Haight,,1946,,Massachusetts,Essex County,,, 42.67722; -70.58417﻿ ,A cargo ship that was stranded on a ledge off Rockport.,
36,Chelsea,,10 February 1957,,Massachusetts,Essex County,,, 42.64778; -70.56972﻿ ,A tanker that was grounded on the Sandy Bay Breakwater northeast of Thatcher Island.,
37,Chester A. Poling,,10 January 1977,,Massachusetts,Essex County,,,,"An oil tanker that broke in half in a storm, southwest of Eastern Point Light.",
38,Edward Rich,,30 August 1899,,Massachusetts,Essex County,,, 42.67750; -70.59028﻿ ,A schooner that struck the Sandy Bay Breakwater off Rockport in fog.,
39,Ellenora Van Dusen,,20 September 1900,,Massachusetts,Essex County,,,,A schooner that caught fire and sank in Gloucester Harbor.,
40,Frank A. Palmer,,17 December 1902,,Massachusetts,Essex County,,,,A schooner that collided with the Louise B. Crary off Gloucester.,
41,USS Grouse,,21 September 1963,,Massachusetts,Essex County,,, 42.67333; -70.57472﻿ ,A  YMS-1-class minesweeper that ran aground off Rockport.,
42,Herbert,,5 August 1924,,Massachusetts,Essex County,,, 42.41806; -70.85694﻿ ,A lighter that was rammed in fog by the steamer City of Gloucester while at anchor off Nahant.,
43,Jennie M. Carter,,"April 13, 1894",,Massachusetts,Essex County,,,,A schooner smashed into one of the jetties in a storm off Salisbury.,
44,Joffre,,"August 9, 1947",,Massachusetts,Essex County,,,,A schooner that caught fire and sank off Gloucester. The wreck was discovered in 2006.,
45,Lamartine,,"May 17, 1893",,Massachusetts,Essex County,,,,A schooner that sank in a storm off Gloucester. The wreck was discovered in 2004.,
46,Louise B. Crary,,1902,,Massachusetts,Essex County,,,,A schooner that collided with the Frank A. Palmer off Gloucester.,
47,Monohansett,,June 1904,,Massachusetts,Essex County,,,,A paddle steamer that sank off Salem Harbor.,
48,USS New Hampshire,,26 July 1922,,Massachusetts,Essex County,,, 43.07167; -70.76306﻿ ,"A training ship that caught fire and sank in the Hudson River on 23 May 1921. She was raised and sold for scrap, but caught fire again and sank while under tow off Manchester.",
49,USS Nezinscot,,11 August 1907,,Massachusetts,Essex County,,,,"The navy tug was steaming from Portsmouth to Boston carrying a cargo of chains, anchors and search light equipment for the USS Missouri. She capsized and sank when a deck load shifted in heavy seas off Cape Ann. Of the 9 person crew, there were 4 fatalities",
50,Nina T,,September 1997,,Massachusetts,Essex County,,, 42.568883; -70.675367﻿ ,A fishing trawler that was scuttled off Gloucester.,
51,Northern Voyager,,1997,,Massachusetts,Essex County,,, 42.574183; -70.604917﻿ ,"A factory ship that foundered during sea trials after refit, 2.5 miles east of Eastern Point Light.",
52,Portland,,27 November 1898,,Massachusetts,Essex County,,,,A steamship that sank off Cape Ann in the Portland Gale.,
53,Alice M. Lawrence,,5 December 1914,,Massachusetts,Nantucket County,,, 41.40361; -70.21667﻿ ,"A schooner that was grounded on Tuckernuck Shoal, in Nantucket Sound.  The vessel grounded upon the French Van Gilder (see below).",
54,MV Argo Merchant,,December 1976,,Massachusetts,Nantucket County,,, 41.033; -69.45﻿ ,"An oil tanker that ran aground 25 miles southeast of Nantucket, Massachusetts, causing an oil spill.",
55,Unnamed crane barge,,1 November 1963,,Massachusetts,Nantucket County,,, 41.43417; -70.22444﻿ ,A crane barge that foundered in Nantucket Sound.,
56,Edward E. Briry,,15 December 1917,,Massachusetts,Nantucket County,,,,A schooner that foundered in a gale 6 miles northeast of Great Point Light.,
57,Fort Mercer,,18 February 1952,,Massachusetts,Nantucket County,,,,A tanker that broke in half in heavy seas southeast of Nantucket.,
58,French Van Gilder,,29 March 1885,,Massachusetts,Nantucket County,,, 41.4017; -70.217﻿ ,A schooner that was grounded on Tuckernuck Shoal in Nantucket Sound.,
59,Jennie French Potter,,18 May 1909,,Massachusetts,Nantucket County,,, 41.47444; -70.27722﻿ ,A schooner that was grounded on Halfmoon Shoal in Nantucket Sound.,
60,Kershaw,,1 June 1928,,Massachusetts,Nantucket County,,, 41.4817; -70.5317﻿ ,A cargo ship that collided with the liner President Garfield northeast of East Chop Light.,
61,LV-117,,15 May 1934,,Massachusetts,Nantucket County,,, 40.61722; -69.61833﻿ ,A lightvessel that was rammed by RMS Olympic off Nantucket.,
62,LV-58,,11 December 1905,,Massachusetts,Nantucket County,,,,A lightvessel that started to leak and sank while being towed off Nantucket.,
63,SS North American,,4 September 1967,,Massachusetts,Nantucket County,,, 42.18333; -87.65000﻿ ,A steamboat that sank under tow off Nantucket.,"Coords = off Chicago, Lake Michigan. (?)"
64,Pemberton,,13 February 1907,,Massachusetts,Nantucket County,,, 41.51639; -70.62806﻿ ,A schooner that caught fire and sank northeast of Nobska Light.,
65,RawFaith,,8 December 2010,,Massachusetts,Nantucket County,,,,A wheelchair-accessible galleon that sank off Nantucket.,
66,SS Stephano,,8 October 1916,,Massachusetts,Nantucket County,,,,"Torpedoed by and sunk by SM U-53, 2.5 miles east-north-east of Nantucket.",
67,U-550,,16 April 1944,,Massachusetts,Nantucket County,,, 40.150; -69.733﻿ ,A Type IXC/40 U-boat sunk by USS Joyce off Nantucket.,
68,RMS Republic,,24 January 1909,,Massachusetts,Nantucket County,,, 40.43417; -69.76667﻿ ,A steam-powered ocean liner that collided with SS Florida south of Nantucket Island.,
69,SS Andrea Doria,,26 July 1956,,Massachusetts,Nantucket County,,, 40.49000; -69.85056﻿ ,Andrea Doria class ocean liner capsized and sunk after colliding with the MS Stockholm (1948).,
70,Ann,,28 January 1805,,Massachusetts,Plymouth County,,,,"A brig that was drove ashore at Duxbury Beach in the Blizzard of 1805. ""Loss of Brig Ann. A gentleman, arrived in town [Boston], last evening from Duxbury, informs, that the brig Ann, Capt. Lathrop, was drove on shore, at Duxbury Beach, on Monday night last, about 11 o'clock. The crew got on shore safe, and it is expected the cargo will be saved. The Ann is owned by Mr. William Parsons, of this town [Boston]. Capt Lothrop, informs, that she saw a brig on shore at Race Point, [Provincetown] as he passed that place, but could not understand who she was.""",
71,Ceres,,28 January 1805,,Massachusetts,Plymouth County,,,,"A ship that went shore on Salt House Beach off Marshfield and Duxbury in the Blizzard of 1805. ""A new ship went ashore on Salt House Beach, a few hours before the loss of the Hibernia; this intelligence is corroborated by Mr. Payne, the surviving mate of the above vessel, who stated to our informant, that he saw her driving towards the shore, and that she is the Ceres, Capt. Sampson, who sailed in company with the Hibernia, from this place, for Charleston. No further particulars of the situation of the ship or crew have been received.""",
72,Columbia,,March 1792,,Massachusetts,Plymouth County,,,,"A ship that was stranded on High Pines, a section of Duxbury beach off the Gurnet. ""In March 1792, the ship Columbia, of three hundred tons, of Portland, Capt. Isaac Chauncy, was stranded on the beach at the High Pines, and fourteen men lost, and two, the second mate and a boy, were saved.""",
73,Columbia,,26 November 1898,,Massachusetts,Plymouth County,,,,A schooner that was blown onto the beach at Scituate in the Portland Gale.,
74,Delaware,,27 November 1898,,Massachusetts,Plymouth County,,,,A barge that sank off Scituate in the Portland Gale.,
75,Edna G.,,June 1988,,Massachusetts,Plymouth County,,,,A fishing vessel that sank near Stellwagen Bank.,
76,Favorite,,28 January 1805,,Massachusetts,Plymouth County,,,,"A ship Favorite bilged off Rocky Point, Plymouth in the Blizzard of 1805. ""Boston, January 31. Loss of Ship Favorite. The ship Favorite, Nathaniel M. Perley, master, sailed from hence, on Saturday morning, for Lisbon: After standing off with a light breeze from 11 A.M. until 8 P.M. the wind beginning to haul to the N.E. and coming on to snow, the weather very thick. Capt. Perley thought best to heave about and stand in, and endeavor to make a harbor - he run in about a mile above the light and came too, with both anchors ahead, rode until five o'clock, on Monday Morning, it then blowing very hard from E. N. E. the ship parted both cables, and in 10 minutes struck on Rocky Point, and is bilged; it is expected a large part of the cargo will be saved.""",
77,Forest Queen,,29 February 1853,,Massachusetts,Plymouth County,,,,"A cargo ship that grounded off Second Cliff Beach, Scituate, in a storm.",
78,Franklin,,October 1804,,Massachusetts,Plymouth County,,,,"A schooner wrecked off High Pines, Duxbury in the Snow Hurricane of 1804. ""Further Accounts of the Late Storm... A wreck was seen near the high pines, after the gale; has since been towed into Plymouth; proves to be the schooner Franklin, of Falmouth; about 100 tons. The body of a seaman has been found on the Outer Beach, two others have been found in the wreck.""",
79,General Arnold,,25 December 1778,,Massachusetts,Plymouth County,,,,"An American brig that shipwrecked in Plymouth Bay during the Revolutionary War in a blizzard. ""On Friday the 25th ult. at 6 A.M. the wind to the westward, sailed from this port the brig General Arnold, James Magee, commander; and about meridian the wind chop'd round to N.E. and looking likely for a gale they thought best to put into Plymouth, and came to anchor in a place called the Cow Yard. On Saturday, the gale encreasing, she started from her anchor, and struck on the White Flat; they then cut both cables and masts away, in hopes to drive over but she immediately bilged; it being low water, left her quarter-deck dry, where all hands got relief. A schooner lying within hail, heard their cries, but could not assist them. On Saturday the inhabitants were cutting ice most of the day before they got on board, when they saw 75 of the men had perished, and 34 very much froze, which they got on shore; and on Monday they got on shore and buried the dead. Great part of the brig's stores will be saved.""",
80,Henry Endicott,,18 September 1939,,Massachusetts,Plymouth County,,, 41.90833; -70.48556﻿ ,A schooner that foundered southeast of Manomet while under tow in heavy seas.,
81,Hibernia,,28 January 1805,,Massachusetts,Plymouth County,,,,"Loss of Ship Hibernia in the Blizzard of 1805. ""The Hibernia, Capt. Farrill, also sailed from this port for Trinidad, on Saturday last. By a gentleman, arrived in town yesterday express from Plymouth, we learn, that the above ship drove ashore at that place, a mile and a half to the south of the Point - she is parted, and her stern drove about a quarter of a mile from her head; the cargo which was in her stern, is scattered along the shore; that in her bows being principally hogsheads, is still in her. The Capt. and all the crew, excepting the first mate, perished."" ""The Captain and all her crew, excepting her first mate, perished, viz, Andrew Farrill, master, of Boston; William Payne, first mate, formerly of Wellfleet, but now of Boston, the only survivor who was lashed to the helm, and taken from thence almost lifeless; Joseph Cordis, second mate, of Charlestown; and the following seamen, viz James D. Hammond of Marblehead, Ezra Bicknall of Weymouth, John Smith of Boston, Samuel Carter of Philadelphia, John Smith of Newport, Thomas Brown of Gloucester, William Howard, boy, of New York, and Francis Trask Cook of Newburyport.""",
82,Kenwood,,4 February 1926,,Massachusetts,Plymouth County,,,,"A schooner that was blown onto rocks in a gale, north of Cedar Point, Scituate.",
83,Mars,,13 September 1942,,Massachusetts,Plymouth County,,, 41.93778; -70.49250﻿ ,A tug that collided with the tanker Bidwell east of Manomet.,
84,USS Mohave,,13 February 1928,,Massachusetts,Plymouth County,,, 42.30500; -70.84778﻿ ,An  Arapaho-class fleet tug that struck a submerged ledge near Nantasket Beach.,
85,Nancy,,20 February 1927,,Massachusetts,Plymouth County,,,,A schooner that dragged her anchor onto Nantasket Beach in a storm.,
86,Pemberton,,13 February 1907,,Massachusetts,Plymouth County,,,,"A (coal) schooner barge that burned and sank Nobska Light, Wareham.",
87,Prudence,,5 December 1800,,Massachusetts,Plymouth County,,,,"A sloop cast ashore off High Pines Ledge on Duxbury Beach. ""Duxbury, December 7. Mr. Russell, On the night of the 5th instant, the sloop Prudence, Captain Alexander Gardner, of Nantucket, was cast ashore and stranded, on the beach, two miles north of Plymouth Light House. There were five men on board; the mate and a passenger was saved, the Captain and his son [Charles Gardner] was found dead; the others not yet found. The cargo consisted of fifteen hogsheads spermaceti oil, 100 barrels tar, and the rigging and sails of the ship Charles, which was cast away near Nantucket - all of which will be saved with little damage. It is not known by the mate who the oil belongs to; it will be forwarded to Boston immediately. Your humble servant, Reuben Drew.""",
88,Rodney,,25 November 1792,,Massachusetts,Plymouth County,,,,"A ship that shipwrecked on Duxbury beach. ""Tribute of Gratitude. George Whytock, commander of the ship Rodney, of London, which sailed from Boston, on Thursday the 22d of November, and unfortunately was shipwrecked on Duxburough beach, the Sunday morning following, in the severe snowstorm, takes this public method to return his most grateful thanks to the benevolent people of Duxborough, Marshfield, and their vicinities, for their humane, spirited, and generousexertions, in affording him and his crew their assistance, in their distressing calamity. To ALL this tribute is sincerely proffered, and particularly to Captain Samuel Debona [sic, Delano], of Duxburough, for his singularly benevolent, noble, and spirited exertions, who at the risk of his own life, ventured into the boisterous waves, and providentially reached the wreck, for the kind purpose of preventing the sufferers attempting to land in their then situation, but to wait until the tide would admit of their getting safely on shore, and to inspire their almost exhausted spirits every possible degree of fortitude, with the assurance of a ready assistance as soon as it was possible for help to reach them from the beach. (Signed) GEORGE WHYTOCK for himself, family, and ship's company."" ""Nov. 25, 1792, the ship Rodney, of London, of between four and five hundred tons, Capt. Whytock, was cast ashore on the Branches ledge in a northeast storm, on her passage from Boston for Martinique, and loaded with lumber and brick. There were no deaths. Capt. Samuel Delano Jr., of Duxbury, while endeavoring to render her assistance, scarcely escaped drowning, and for his heroic conduct was rewarded by the Humane Society with a gold medal. Her passengers were rescued by a sloop, and among their number were several females, the Captain's family.""",
89,Success,,December 1811,,Massachusetts,Plymouth County,,,,"A brig that wrecked on Brant Rock, Marshfield. ""FATAL SHIPWRECK. The Brig Success, Tobias Lear Porter, master, belonging to Messrs. J. & S. White of Salem, 84 days from St. Petersburg, on Wednesday evening last, struck on the Brant rock, Marshfield beach, by which accident the Captain, mate, and four seamen perished, two only being saved. The names of those lost besides the master, are, Mr. John Nichols of Salem, mate; Peter Union, John Chappell, Williams Brooks, and Giles Pike of Marblehead, seamen. Capt. Porter (in whose death society has lost a very respectable, enterprising, and valuable member) was son to the Rev. Nathaniel Porter, of Conway, N.H., a clergyman much respected for learning, and venerable for his age and piety. It appeared that on the approach of night, the wind blowing fresh at the eastward, Capt. Porter consulting his mate on the expediency of running in for the land, they being very short of water, having but about 3 gallons on board, and as they supposed they knew their situation (having spoken a vessel out for the land that day) on mutual deliberation concluded to run in; sounding several times in the evening until they shoaled the water to 17 fathoms. Concluding that they were on the northern shore they hauled off to the southward; shortly after they sounded and had 40 fathom water; continued their course to the southward until nearly 8 o'clock P.M. when they saw breakers, and immediately were ship and stood off - directly after which she struck. After beating for two hours she bilged and filled the cabin with water: the mate and people then left the cabin (except the two that were saved) and went forward and lashed themselves [to] the bows, being then quite out of water; sometime after the bows settled away in the cavity of the rocks, when all those lashed forward were drowned; the captain continued about the decks doing everything in his power for the preservation of the whole until after three o'clock A.M.; he then called to the people that were holding on the combings of the companion way, and asked if they were alive; they answered, though the water was nearly up to their mouths; in a few moments he was heard no more. His body was taken up together with those of the mate and the people that morning, and on the following Sabbath were carried into the meeting-house, where a sermon adapted to the occasion was preached to a large concourse of people by the Rev. Mr. Shaw, from Prov. xxvii 1 ""Boast not thyself of tomorrow, for thou knowest not what a day may bring forth,"" when the bodies were interred.""",
90,Unknown sloop,,16 November 1766,,Massachusetts,Plymouth County,,,,"An unknown sloop lost off Duxbury. ""Boston, November 24... We hear from Duxbury, that in the storm last Sabbath night the 16th instant, a sloop from the Eastward laden with lumber bound in there, where she was owned, one Ripley, master, was cast away on Duxbury Beach, and all the hands (being three in number) perished, viz, [William] Ripley, master, John Alden, son of Briggs Alden Esq. of Duxbury, and Daniel Weston. One of the dead bodies was found lashed to the quarter, and another floated ashore, the third was not found.""",
91,Unknown sloop,,28 October 1767,,Massachusetts,Plymouth County,,,,"A sloop from Connecticut off Duxbury. ""Boston, November 5. Last week we had a very heavy storm of wind and rain, the severity of it was on Wednesday, no great damage down in this Harbour; but in the Bay the wind being violent at N.E. many vessels were in great distress. It is said 17 sail, chiefly sloops, were drove on the Southern Shore [including]... a sloop near Duxbury, the vessel, cargo, and all the people lost; two dead bodies have been taken up, several chests, some bedding, great quantities of cheese, butter, cyder &c. were washed a-shore, by which it is supposed she was from Connecticut; but have not learnt the Master's name."" ""The vessel that was cast away at Duxbury, in a violent storm as lately mentioned in the papers, every soul on board perished, viz Thomas Griffin, master, Jonathan Babcock, James Miner, John Irish, and two others, whose names we have not yet learnt.""",
92,Unknown sloop,,28 October 1767,,Massachusetts,Plymouth County,,,,"A sloop from North Carolina off Marshfield. ""Boston, November 5. Last week we had a very heavy storm of wind and rain, the severity of it was on Wednesday, no great damage down in this Harbour; but in the Bay the wind being violent at N.E. many vessels were in great distress. It is said 17 sail, chiefly sloops, were drove on the Southern Shore [including]... A sloop, Andrews, master, from North Carolina, ashore near Marshfield, the vessel lost but the cargo saved.""",
93,Unknown vessel,,14 December 1767,,Massachusetts,Plymouth County,,,,"A ship drove ashore in Duxbury during a snow storm. ""December 24. On Monday the 14th we had here an easterly snow storm, but the wind not severe until late in the evening, when it came about to the westward, and blew exceeding hard all the night, and very cold. No damage that we hear of near this place, excepting two vessels drove ashore, viz, Captain Cobb from Quebec for this post [Boston]; and one outward bound for Philadelphia, on George's Island, both likely to be got off.""",
94,Unknown sloop,,9 December 1786,,Massachusetts,Plymouth County,,,,"A sloop ran ashore on Duxbury Beach during The Great Snow of 1786. ""Boston, December 22. Among the many terrible effects of the late violent snow storm, a correspondent, who was personally concerned, has sent us the following: ""Between one and two o'clock, Saturday morning, December 9, Capt. Samuel Robbins sailed from the Long Wharf in Boston, in a coasting sloop, bound for Plymouth, with a number of passengers on board, among whom were the Rev. Mr. Robbins of Plymouth, with 13 others; the wind about N by E. We had passed the light house about two leagues, when the wind veering round to E.N.E the heavens grew suddenly black and a squall of snow.""",
95,Unknown sloop,,10 April 1801,,Massachusetts,Plymouth County,,,,"A sloop wrecked off Duxbury Beach. ""Duxbury Mass. April 13. On Friday afternoon last was discovered at anchor a sloop of about 70 or 80 tons, about half a mile off Duxbury beach; on which there went off some men in a boat. They found no person on board; but a rauses boat with three oars was discovered which was supposed to belong to her. On Saturday morning the sloop disappeared. On that morning the body of a drowned man was taken up on the beach; and the next day two others were taken up. There was nothing found with them to discover who they were or from whence they came, except a watch, with A. S. engraved on it, should do it. It is conjectured she belonged to the Eastward."" ""In April 1801, a sloop was wrecked, and three men drowned and two saved.""",
96,Unknown schooner,,28 January 1805,,Massachusetts,Plymouth County,,,,"A schooner wrecked near Rocky Point, Plymouth in the Blizzard of 1805. ""At the same time [of the wrecking of Hibernia] a schooner, name unknown, was drove on shore at a short distance from where the ship [Hibernia] was struck, and immediately went to pieces. It is feared every soul on board was lost.""",
97,Baleen,,1 November 1975,,Massachusetts,Suffolk County,,, 42.38472; -70.73389﻿ ,"A tug that foundered in Boston Harbor, northeast of The Graves Light, while in tow after a fire on board.",
98,City of Salisbury,,22 April 1938,,Massachusetts,Suffolk County,,, 42.37389; -70.85972﻿ ,A cargo ship that struck a ledge in fog and broke up in Boston Harbor.,
99,Coyote,,1932,,Massachusetts,Suffolk County,,, 42.36833; -70.71833﻿ ,A steamboat that was scuttled outside Boston Harbor.,
100,Davis Palmer,,26 December 1909,,Massachusetts,Suffolk County,,, 42.37194; -70.92472﻿ ,A schooner that struck Graves Ledge in Boston Harbor.,
101,King Philip,,7 April 1935,,Massachusetts,Suffolk County,,,,"A steamboat that sank at dock, and was raised and scuttled in Boston Harbor.",
102,Kiowa,,26 December 1903,,Massachusetts,Suffolk County,,, 42.32194; -70.86444﻿ ,"A cargo ship that was rammed by the steamer Admiral Dewy in a snowstorm, while anchored southeast of Boston Light.",
103,Mary E. O'Hara,,21 January 1941,,Massachusetts,Suffolk County,,, 42.38333; -70.91667﻿ ,A fishing vessel that collided with the barge Winifred Sheridan in Boston Harbor.,
104,Maritana,,3 November 1861,,Massachusetts,Suffolk County,,,,"991-ton Maritana of Providence, Rhode Island, was a commercial vessel, which accidentally rammed Shag Rocks, Boston Harbor, in bad weather, and was torn apart by the waves.",
0,Crown of Italy,,23 December 1891,,South America,Argentina,,, -54.633; -65.117﻿ ,"A British sailing ship that ran aground at Cabo San Diego. Abandoned early the next morning and using the ship's boats, her crew of 33 made landfall on Staten Island on Christmas Day. The crew were stranded there for 83 days before being picked up by H.M.S. Cleopatra. All were saved.",
1,Desdemona,,9 September 1985,,South America,Argentina,,, -54.2975944; -66.6996722﻿ ,A cargo ship that ran aground at Cabo San Pablo.,
2,Duchess of Albany,,13 July 1893,,South America,Argentina,,, -54.633; -65.517﻿ ,A sailing ship that sank off Tierra del Fuego.,
3,ARA General Belgrano,,2 April 1982,,South America,Argentina,,, -55.400; -61.533﻿ ,"A Brooklyn-class light cruiser that was torpedoed by HMS Conqueror during the Falklands/Malvinas War. The ship was outside the Total Exclusion Zone at the time, leading to controversy over whether the attack was justified.",
4,HMS Justice,,1957,,South America,Argentina,,, -54.809694; -68.308117﻿ ,A salvage tug that was beached an abandoned at Ushuaia.,
5,USS Perkins,,15 January 1973,,South America,Argentina,,, -36.250; -57.000﻿ ,A Gearing-class destroyer that was sunk as a target in Samborombón Bay.,
6,Potosi,,19 October 1925,,South America,Argentina,,, -45.0417; -66.0417﻿ ,A barque that caught fire and was scuttled near Comodoro Rivadavia.,
7,Sarmiento,,2 April 1912,,South America,Argentina,,, -54.8612472; -67.8562194﻿ ,A passenger and cargo ship that sank in the Beagle Channel.,
8,Usurbil,,March 1993,,South America,Argentina,,, -38.82667; -62.26528﻿ ,"A fishing trawler that was destroyed by fire while at port at Ingeniero White, Buenos Aires. The wreck was moved to Bahía Blanca in 1999.",
9,Aquidabã,,21 January 1906,,South America,Brazil,,,,"A Brazilian ironclad warship that sank after exploding near the Jacuacanga strait, in Angra dos Reis bay.",
10,Bezerra de Menezes,,1891,,South America,Brazil,,,,Cargo ship that sunk after a collision.,
11,California,,1866,,South America,Brazil,,,,"Rare 1806 ""direct acting engine"" steamer, with a centered propulsion wheel, carrying personal care articles.  Sunk after a pirate raid at Ilha Grande, Angra dos reis.",
12,Campos,,23 October 1943,,South America,Brazil,,,,Torpedoed by a U-170.,
13,Trafalgar,,14 September 1914,,South America,Brazil,,, -20.483; -29.300﻿ ,"Sunk by British HMS Carmania off the coast of the Island of Trindade, Brazil, South Atlantic Ocean -WWI].",
14,Elihu B. Washburne,,1943,,South America,Brazil,,,,Sunk in Santos Bay.,
15,Kapunda,,20 January 1887,,South America,Brazil,,,,"An emigrant ship that was travelling from London to Australia when it collided with the barque Ada Melmore, with 299 lives lost.",
16,Kestrel,,11 February 1895,,South America,Brazil,,,,,
17,RMS Magdalena,,26 April 1949,,South America,Brazil,,, -22.95139; -43.12500﻿ ,A refrigerator ship that ran aground and then split in two in the Guanabara Bay while under tow.,
18,Novo Amapa,,6 January 1981,,South America,Brazil,,,,"Capsized in the Amazon River, at Cajari, Macapá.",
19,Pinguino,,1967,,South America,Brazil,,,,A grain cargo ship that sunk after a fire aboard. A popular dive site at Ilha Grande.,
20,Príncipe de Asturias,,5 March 1916,,South America,Brazil,,,,"An ocean liner that ran aground on a shoal near Ilhabela, São Paulo, resulting in at least 445 deaths.",
21,Sir Foxwell Buxton (ship),,1853,,South America,Brazil,,,,An emigrant ship that ran aground off the coast of Rio Grande do Norte.,
22,Sobral Santos II,,19 September 1981,,South America,Brazil,,,,"Capsized in the Amazon River, at Óbidos, Pará. Around 250 to 300 people are killed, 178 people survive.",
23,Stag Hound,,2 August 1861,,South America,Brazil,,,,An extreme clipper that caught fire and sank near Pernambuco.,
24,Tocantins,,1933,,South America,Brazil,,,,"Sunk at the Queimada Grande Island, due to heavy fog.",
25,U-128,,16 May 1943,,South America,Brazil,,, -11.000; -35.717﻿ ,"Attacked by US Navy aircraft and destroyers off the coast of Recife.  After considerable shelling and aerial bombing that rendered her dead in the water, the crew scuttled her the next day.",
26,Almirante Latorre,,2005,,South America,Chile,,,,Sank in the South Pacific while under tow to be broken up.,
27,Ambassador,,1940s,,South America,Chile,,, -52.567529; -70.068537﻿ ,A clipper that was beached at San Gregorio.,
28,Angamos,,1928,,South America,Chile,,,,Sank after striking rocks near Lebu. Second biggest single-incident maritime losses of life in the history of Chile.,
29,Blanco Encalada,,1891,,South America,Chile,,,,Destroyed by a torpedo gunboat in the port of Caldera during the 1891 Chilean Civil War.,
30,Casma,,1916,,South America,Chile,,,,Ran aground in Picton Channel.,
31,Cazador,,1856,,South America,Chile,,,,"A steamboat that was driven aground off Point Carranza, 10 km south of Constitución, resulting in the loss of 300-400 lives. The biggest single-incident maritime losses of life in the history of Chile.",
32,HMS Challenger,,1835,,South America,Chile,,,,Wrecked off Mocha Island.,
33,County of Peebles,,1960s,,South America,Chile,,,,A windjammer that was beached as a breakwater at Punta Arenas.,
34,HMS Doterel,,1881,,South America,Chile,,,,A Doterel-class sloop that exploded while anchored at Punta Arenas.,
35,SMS Dresden,,1915,,South America,Chile,,, -33.60167; -78.82500﻿ ,A Dresden-class light cruiser that was scuttled near Robinson Crusoe Island.,
36,El Canelo,,1960,,South America,Chile,,,,Sank in the mouth of Valdivia River after the 1960 Valdivia earthquake in 1960.,
37,Esmeralda,,1879,,South America,Chile,,,,Sank during the Battle of Iquique.,
38,ARA Fournier,,1949,,South America,Chile,,,,Sank in Gabriel Channel at the Dawson Island. 72 men were lost.,
39,HMS Good Hope,,1914,,South America,Chile,,, -36.98361; -73.81361﻿ ,A Drake-class armored cruiser that was destroyed in the Battle of Coronel.,
40,ARA Guaraní,,1958,,South America,Chile,,,,Sank off Nueva Island. 38 men lost.,
41,Independencia,,1879,,South America,Chile,,,,Ran aground and was burnt during the Battle of Punta Gruesa.,
42,Janequeo ATF-65,,1965,,South America,Chile,,,,Sank with the loss of 65 men.,
43,John Elder,,1892,,South America,Chile,,,,Sank near Punta Carranza.,
44,Kate Kellok [11],,1878,,South America,Chile,,,,,
45,MV Logos,,1988,,South America,Chile,,, -54.9702333; -67.1238083﻿ ,"A missionary ship owned by Operation Mobilisation, that ran aground on rocks in the Beagle Channel.",
46,BAP Manco Cápac,,1880,,South America,Chile,,,,Scuttled to prevent her capture by the Chilean military after the Battle of Arica.,
47,HMS Monmouth,,1914,,South America,Chile,,, -36.89806; -73.84583﻿ ,A Monmouth-class armored cruiser that was destroyed in the Battle of Coronel.,
48,Monteagudo,,1839,,South America,Chile,,,,Sank off Valparaíso.,
49,O'Higgins,,1826,,South America,Chile,,,,Sank off Cape Horn. Probably the biggest single-incident maritime loss of life in the history of Chile.,
50,Olympian,,1906,,South America,Chile,,, -52.2476861; -69.0320722﻿ ,A steamboat that was wrecked at Possession Bay while under tow.,
51,Oriflamme,,1770,,South America,Chile,,,,Sank near the mouth of the Huenchullami River.,
52,Sancti Espiritus,,1526,,South America,Chile,,,,First European ship to run aground in the Strait of Magellan.,
53,SS Santa Leonor,,1966,,South America,Chile,,,,Ran aground in Smyth Channel.,
